Datetime,Open,High,Low,Close,Volume
2022-09-01 04:00:00,160.6516,160.7905,160.5921,160.7608,1979
2022-09-01 04:15:00,160.86,160.8699,160.6417,160.7112,1558
2022-09-01 04:30:00,160.5524,160.5722,160.0166,160.0166,1150
2022-09-01 04:45:00,160.1555,160.3539,160.1059,160.3539,2035
2022-09-01 05:00:00,160.3738,160.7509,160.3539,160.5524,1665
2022-09-01 05:15:00,160.1555,160.2051,160.1059,160.2051,1264
2022-09-01 05:30:00,160.2547,160.4036,160.2051,160.2051,640
2022-09-01 05:45:00,160.2845,160.5325,160.2845,160.5325,533
2022-09-01 06:15:00,160.5921,160.5921,160.4532,160.4532,719
2022-09-01 06:30:00,160.6913,160.7012,160.3639,160.3639,1854
2022-09-01 07:00:00,161.0386,161.6737,161.0386,161.6042,9975
2022-09-01 07:15:00,161.892,162.2393,161.7233,162.2194,5589
2022-09-01 07:30:00,162.3087,163.0133,162.2988,162.8347,2711
2022-09-01 07:45:00,162.924,163.311,162.3981,162.6064,2687
2022-09-01 08:00:00,160.9989,163.311,159.58,162.8148,55980
2022-09-01 08:15:00,163.0757,163.0757,162.7354,162.8843,20608
2022-09-01 08:30:00,162.7354,163.3308,162.4675,162.8843,19307
2022-09-01 08:45:00,162.8843,163.1125,162.3484,162.3484,18081
2022-09-01 09:00:00,162.3584,162.5469,161.8424,162.3385,17195
2022-09-01 09:15:00,162.4874,162.7156,161.4157,162.2889,24654
2022-09-01 09:30:00,162.2889,166.0694,161.5943,165.107,3217087
2022-09-01 09:45:00,165.1268,165.5238,162.9538,163.8269,1682724
2022-09-01 10:00:00,163.6781,163.8071,162.2988,162.4974,1362073
2022-09-01 10:15:00,162.4973,163.9262,162.0805,163.8566,1357430
2022-09-01 10:30:00,163.8666,164.1011,161.6935,162.0209,1015714
2022-09-01 10:45:00,162.0111,162.1996,161.1708,161.1975,946702
2022-09-01 11:00:00,161.1974,162.1797,160.9692,161.6141,814448
2022-09-01 11:15:00,161.5871,161.5943,160.1456,160.2646,911504
2022-09-01 11:30:00,160.2646,161.4034,159.9417,160.2646,868246
2022-09-01 11:45:00,160.2746,160.5225,160.096,160.3192,430858
2022-09-01 12:00:00,160.3043,161.0684,160.2746,160.9493,437647
2022-09-01 12:15:00,161.0386,161.4256,160.5045,160.7012,539169
2022-09-01 12:30:00,160.7211,160.731,159.5635,159.7305,600814
2022-09-01 12:45:00,159.7139,159.7883,159.1086,159.4214,738096
2022-09-01 13:00:00,159.4311,160.4199,159.312,160.3738,589042
2022-09-01 13:15:00,160.3738,161.0188,160.2974,160.8997,632082
2022-09-01 13:30:00,160.8848,160.944,160.2547,160.4084,429878
2022-09-01 13:45:00,160.4036,160.6126,160.0123,160.5111,362605
2022-09-01 14:00:00,160.5226,161.118,160.3011,160.8798,448386
2022-09-01 14:15:00,160.8798,162.1797,160.7509,161.8771,703572
2022-09-01 14:30:00,161.887,162.7503,161.8821,162.3683,703323
2022-09-01 14:45:00,162.3931,162.7354,161.9396,162.3881,493192
2022-09-01 15:00:00,162.3981,163.3804,162.0883,163.2563,927127
2022-09-01 15:15:00,163.2613,163.301,162.4081,162.5866,614842
2022-09-01 15:30:00,162.5717,162.9537,162.4626,162.795,581231
2022-09-01 15:45:00,162.7751,164.4521,162.7652,164.1246,1585695
2022-09-01 16:00:00,164.0849,164.5216,164.0056,164.0849,1315133
2022-09-01 16:15:00,164.1048,164.2735,164.0949,164.0949,3623
2022-09-01 16:30:00,164.1246,164.1746,164.0849,164.1742,2032
2022-09-01 16:45:00,164.1743,164.2139,164.0849,164.1281,4292
2022-09-01 17:00:00,164.1742,164.2239,164.0949,164.1742,3069
2022-09-01 17:15:00,164.2239,164.3231,164.2239,164.3231,1001
2022-09-01 17:30:00,164.4223,164.5513,164.4223,164.4719,794
2022-09-01 17:45:00,164.5216,164.5712,164.0849,164.4223,6311
2022-09-01 18:00:00,164.4025,164.6803,164.3529,164.6803,3434
2022-09-01 18:15:00,164.6208,164.6208,164.2338,164.4124,11042
2022-09-01 18:30:00,164.3231,164.3231,164.0254,164.0254,4041
2022-09-01 18:45:00,164.0254,164.204,164.0254,164.204,601
2022-09-01 19:00:00,164.204,164.204,164.0254,164.075,5246
2022-09-01 19:15:00,164.0254,164.0353,163.9063,163.9758,2386
2022-09-01 19:30:00,163.9758,164.1246,163.8369,164.1246,1383
2022-09-01 19:45:00,164.1941,164.3231,164.0849,164.3231,1005
2022-09-02 04:00:00,164.0155,164.0155,163.4201,163.4201,1765
2022-09-02 04:15:00,163.5392,163.559,163.5293,163.559,800
2022-09-02 04:30:00,163.7178,163.9659,163.7178,163.8468,1041
2022-09-02 05:00:00,163.8766,163.8766,163.8468,163.8468,671
2022-09-02 05:30:00,163.5491,163.5491,163.5491,163.5491,100
2022-09-02 05:45:00,163.5293,163.6781,163.5293,163.6781,500
2022-09-02 06:00:00,163.5987,163.5987,163.5987,163.5987,183
2022-09-02 06:15:00,163.44,163.44,163.1423,163.1423,1150
2022-09-02 06:30:00,163.1522,163.1522,163.1323,163.1323,493
2022-09-02 07:00:00,163.5888,163.5987,163.172,163.2018,5457
2022-09-02 07:15:00,163.3209,163.3804,163.1026,163.2316,3697
2022-09-02 07:30:00,163.4995,163.5094,163.4201,163.43,990
2022-09-02 07:45:00,163.3308,163.3308,163.3308,163.3308,200
2022-09-02 08:00:00,163.6019,163.6781,163.0827,163.4796,33414
