Datetime,Open,High,Low,Close,Volume
2022-10-03 04:00:00,113.0,113.0,112.0,112.28,4947
2022-10-03 04:15:00,112.28,112.29,112.13,112.14,2617
2022-10-03 04:30:00,112.14,112.33,112.01,112.08,7298
2022-10-03 04:45:00,112.19,112.19,112.1,112.12,2313
2022-10-03 05:00:00,112.11,112.11,111.78,111.81,2967
2022-10-03 05:15:00,111.97,112.26,111.97,112.22,5660
2022-10-03 05:30:00,112.36,112.5,112.35,112.35,6788
2022-10-03 05:45:00,112.24,112.36,112.24,112.26,574
2022-10-03 06:00:00,112.4,112.56,112.4,112.56,6616
2022-10-03 06:15:00,112.7,112.7,112.65,112.7,1916
2022-10-03 06:30:00,112.72,112.75,112.5,112.5,2366
2022-10-03 06:45:00,112.69,112.98,112.69,112.95,5399
2022-10-03 07:00:00,112.98,113.2,112.84,113.1,17102
2022-10-03 07:15:00,113.2,113.2,113.0,113.09,7596
2022-10-03 07:30:00,113.18,113.44,113.18,113.29,13025
2022-10-03 07:45:00,113.39,113.8,113.09,113.8,28247
2022-10-03 08:00:00,113.1996,114.0,112.718,113.63,122904
2022-10-03 08:15:00,113.65,113.79,113.55,113.64,31742
2022-10-03 08:30:00,113.62,114.08,113.49,113.94,36103
2022-10-03 08:45:00,113.94,114.3,113.0,113.84,76549
2022-10-03 09:00:00,113.85,114.2,113.7604,114.0,52760
2022-10-03 09:15:00,114.05,114.22,113.55,113.63,58202
2022-10-03 09:30:00,113.62,114.6,113.05,113.22,3130406
2022-10-03 09:45:00,113.23,113.9,112.45,112.66,2167094
2022-10-03 10:00:00,112.68,113.91,112.68,113.15,2097918
2022-10-03 10:15:00,113.1577,114.38,112.86,114.23,1763852
2022-10-03 10:30:00,114.235,114.8799,114.14,114.8,1551968
2022-10-03 10:45:00,114.7914,114.97,114.4834,114.64,1242054
2022-10-03 11:00:00,114.63,114.955,114.23,114.6778,1195487
2022-10-03 11:15:00,114.6734,115.2499,114.65,115.095,1290892
2022-10-03 11:30:00,115.0955,115.27,114.49,114.695,1245210
2022-10-03 11:45:00,114.7,114.929,114.545,114.7814,729644
2022-10-03 12:00:00,114.77,115.344,114.77,115.079,1033983
2022-10-03 12:15:00,115.08,115.17,114.6645,114.7991,833411
2022-10-03 12:30:00,114.78,115.03,114.65,114.77,691756
2022-10-03 12:45:00,114.77,114.91,114.47,114.89,658587
2022-10-03 13:00:00,114.89,115.06,114.76,114.8599,570259
2022-10-03 13:15:00,114.8799,115.33,114.81,115.22,774572
2022-10-03 13:30:00,115.2199,115.65,115.2199,115.2817,899265
2022-10-03 13:45:00,115.28,115.56,115.28,115.4667,733455
2022-10-03 14:00:00,115.48,116.04,115.42,116.004,898171
2022-10-03 14:15:00,116.0,116.505,115.915,116.485,1292285
2022-10-03 14:30:00,116.49,116.495,116.19,116.3642,804620
2022-10-03 14:45:00,116.36,116.91,116.27,116.67,1189288
2022-10-03 15:00:00,116.69,116.81,116.4,116.5301,1272001
2022-10-03 15:15:00,116.53,116.63,116.11,116.53,1306552
2022-10-03 15:30:00,116.53,116.627,116.19,116.275,1483445
2022-10-03 15:45:00,116.275,116.4784,115.6901,115.95,2811730
2022-10-03 16:00:00,115.88,116.24,115.76,115.98,6912919
2022-10-03 16:15:00,115.98,116.06,115.91,116.01,14389
2022-10-03 16:30:00,116.01,116.14,115.88,116.1394,14423
2022-10-03 16:45:00,116.05,116.1,116.0,116.05,5432
2022-10-03 17:00:00,116.05,116.09,116.03,116.09,3263
2022-10-03 17:15:00,116.0327,116.05,115.65,115.91,20574
2022-10-03 17:30:00,116.02,116.03,115.92,116.0,4208
2022-10-03 17:45:00,116.0,116.02,115.97,116.01,5743
2022-10-03 18:00:00,116.02,116.29,116.02,116.12,6250
2022-10-03 18:15:00,116.02,116.1,115.88,115.88,8491
2022-10-03 18:30:00,116.07,116.07,115.75,115.78,4747
2022-10-03 18:45:00,115.97,115.97,115.8,115.88,4068
2022-10-03 19:00:00,115.9,116.0,115.8,115.9,2032
2022-10-03 19:15:00,115.88,116.3,115.88,116.24,5867
2022-10-03 19:30:00,116.27,116.43,116.25,116.31,6423
2022-10-03 19:45:00,116.31,116.37,116.02,116.37,7137
2022-10-04 04:00:00,117.74,118.15,117.74,117.99,10573
2022-10-04 04:15:00,118.0,118.02,117.7,118.02,8481
2022-10-04 04:30:00,117.99,118.5,117.94,117.99,7332
2022-10-04 04:45:00,117.88,118.2,117.88,118.2,5113
2022-10-04 05:00:00,118.27,118.37,117.9,117.9,3925
2022-10-04 05:15:00,117.91,118.38,117.89,118.38,4175
2022-10-04 05:30:00,118.21,118.21,118.12,118.12,200
2022-10-04 05:45:00,118.27,118.5,118.27,118.5,6492
2022-10-04 06:00:00,118.35,118.59,118.24,118.46,5014
2022-10-04 06:15:00,118.45,118.89,118.36,118.84,18503
2022-10-04 06:30:00,118.85,119.18,118.85,119.18,7080
2022-10-04 06:45:00,119.2,119.34,119.05,119.05,35880
2022-10-04 07:00:00,118.99,119.1,118.59,118.99,46722
2022-10-04 07:15:00,118.9,119.07,118.87,119.07,14757
2022-10-04 07:30:00,119.06,119.29,119.05,119.1,11689
2022-10-04 07:45:00,119.15,119.15,119.03,119.05,11449
2022-10-04 08:00:00,118.7,119.25,115.591,119.0747,90166
2022-10-04 08:15:00,119.07,119.2993,118.8,119.09,48790
2022-10-04 08:30:00,119.1,119.64,119.05,119.33,66468
2022-10-04 08:45:00,119.394,119.6,119.06,119.54,71047
2022-10-04 09:00:00,119.54,119.64,119.4,119.52,62261
2022-10-04 09:15:00,119.52,120.06,119.5,119.87,80919
2022-10-04 09:30:00,119.88,121.28,119.79,120.67,5989864
2022-10-04 09:45:00,120.68,121.95,120.56,121.89,3416795
2022-10-04 10:00:00,121.89,122.7,121.88,122.49,3256349
2022-10-04 10:15:00,122.5,122.66,121.78,121.7999,2178847
2022-10-04 10:30:00,121.8,122.94,121.7619,122.87,2404692
2022-10-04 10:45:00,122.87,123.0,122.41,122.98,1719141
