Datetime,Open,High,Low,Close,Volume
2022-08-01 04:00:00,115.3913,115.5103,114.8161,114.8656,10341
2022-08-01 04:15:00,114.8557,114.945,114.7169,114.7169,4643
2022-08-01 04:30:00,114.7665,114.7665,114.697,114.697,1299
2022-08-01 04:45:00,114.5681,114.5681,114.4689,114.4689,2755
2022-08-01 05:00:00,114.5681,114.5681,114.5681,114.5681,124
2022-08-01 05:15:00,114.7566,114.826,114.697,114.826,568
2022-08-01 05:30:00,114.8656,114.8954,114.8359,114.8954,1110
2022-08-01 05:45:00,114.8954,114.8954,114.8954,114.8954,1255
2022-08-01 06:00:00,114.8359,115.0442,114.8359,115.0442,1258
2022-08-01 06:30:00,114.945,115.0243,114.945,114.9549,1484
2022-08-01 06:45:00,114.945,115.0541,114.945,115.0442,12581
2022-08-01 07:00:00,115.0541,115.2326,115.0541,115.2326,3628
2022-08-01 07:15:00,115.1929,115.2326,115.1433,115.1929,4439
2022-08-01 07:30:00,115.1731,115.2028,115.0739,115.1235,2860
2022-08-01 07:45:00,115.1632,115.3417,115.1632,115.2425,8326
2022-08-01 08:00:00,115.1726,115.3417,114.4293,115.0442,28782
2022-08-01 08:15:00,115.0938,115.0938,114.826,114.8458,9553
2022-08-01 08:30:00,114.7665,114.8557,114.6375,114.7665,13809
2022-08-01 08:45:00,114.7764,114.7863,114.4194,114.5185,27997
2022-08-01 09:00:00,114.5284,114.6475,114.2508,114.3698,18398
2022-08-01 09:15:00,114.3797,114.9351,114.3499,114.3499,44538
2022-08-01 09:30:00,114.3499,114.578,113.4673,114.4188,2021194
2022-08-01 09:45:00,114.4045,115.669,114.3003,115.2376,1137980
2022-08-01 10:00:00,115.2624,115.6888,115.0838,115.5896,1144091
2022-08-01 10:15:00,115.5995,115.6194,114.3003,114.4937,1146094
2022-08-01 10:30:00,114.5086,115.2128,114.3301,115.064,708531
2022-08-01 10:45:00,115.0739,115.6392,114.9351,115.5797,762125
2022-08-01 11:00:00,115.5896,115.7582,114.8656,115.3016,578637
2022-08-01 11:15:00,115.2921,115.5103,114.8818,115.3615,423988
2022-08-01 11:30:00,115.3814,115.3814,114.9053,115.3119,334560
2022-08-01 11:45:00,115.302,115.4706,115.1533,115.1816,496349
2022-08-01 12:00:00,115.183,115.2524,114.4789,114.5979,585503
2022-08-01 12:15:00,114.588,114.826,114.5384,114.7169,445613
2022-08-01 12:30:00,114.7267,114.7659,114.2309,114.3698,428144
2022-08-01 12:45:00,114.3797,114.588,114.0127,114.2458,451444
2022-08-01 13:00:00,114.2408,114.3399,113.8739,114.1813,426792
2022-08-01 13:15:00,114.1912,114.2407,113.5466,113.5764,472921
2022-08-01 13:30:00,113.5764,113.7846,113.5069,113.6656,401548
2022-08-01 13:45:00,113.6557,113.8243,113.3978,113.7846,376879
2022-08-01 14:00:00,113.7747,113.8837,113.5467,113.8837,369517
2022-08-01 14:15:00,113.8841,114.0227,113.6855,113.9731,393631
2022-08-01 14:30:00,113.983,114.4293,113.9532,114.107,569146
2022-08-01 14:45:00,114.1119,114.5086,113.9631,114.4194,458614
2022-08-01 15:00:00,114.4194,114.4491,114.1119,114.3301,416940
2022-08-01 15:15:00,114.34,114.5086,114.0028,114.0822,515518
2022-08-01 15:30:00,114.0772,114.34,114.0623,114.1615,547861
2022-08-01 15:45:00,114.1429,114.3499,113.7152,113.9235,1745097
2022-08-01 16:00:00,113.9136,114.1714,113.884,113.9136,2596083
2022-08-01 16:15:00,113.9136,114.0425,113.9136,113.9631,50897
2022-08-01 16:30:00,114.0028,114.0326,113.9532,114.0326,3080
2022-08-01 16:45:00,114.0425,114.0425,113.9532,114.0326,1399
2022-08-01 17:00:00,113.9571,114.0326,113.9235,114.0326,2800
2022-08-01 17:15:00,113.9532,113.9532,113.7549,113.7549,4096
2022-08-01 17:30:00,113.7549,113.8918,113.7152,113.8918,4763
2022-08-01 17:45:00,113.8441,113.8441,113.8441,113.8441,100
2022-08-01 18:00:00,113.7846,113.8541,113.7152,113.7152,6665
2022-08-01 18:15:00,113.7152,113.8441,113.7152,113.8144,1363
2022-08-01 18:30:00,113.8441,113.8441,113.8441,113.8441,100
2022-08-01 18:45:00,113.8144,113.8144,113.7945,113.7945,3505
2022-08-01 19:00:00,113.7549,113.8045,113.7549,113.8045,708
2022-08-01 19:15:00,113.7549,113.8541,113.7549,113.8541,857
2022-08-01 19:30:00,113.8144,113.9235,113.4573,113.9235,3480
2022-08-01 19:45:00,113.8243,113.8541,113.7846,113.8045,5380
2022-08-02 04:00:00,113.3978,113.3978,113.0507,113.0606,2614
2022-08-02 04:15:00,112.9813,113.1102,112.9416,113.1102,4246
2022-08-02 04:30:00,113.14,113.14,112.902,112.902,2109
2022-08-02 04:45:00,112.8127,112.8623,112.8127,112.8623,840
2022-08-02 05:00:00,112.9416,112.9416,112.8623,112.8623,646
2022-08-02 05:15:00,112.9615,112.9615,112.7929,112.7929,1843
2022-08-02 05:30:00,112.8127,112.8325,112.7631,112.8325,1742
2022-08-02 05:45:00,112.7234,112.7234,112.4458,112.4458,6685
2022-08-02 06:00:00,112.3962,112.5747,112.3565,112.5747,2386
2022-08-02 06:15:00,112.5945,112.6441,112.3862,112.4557,2172
2022-08-02 06:30:00,112.5548,112.5648,112.5449,112.5648,1238
2022-08-02 06:45:00,112.4557,112.6144,112.4557,112.6144,4105
2022-08-02 07:00:00,112.7135,113.0805,112.5648,112.6639,7343
2022-08-02 07:15:00,112.8028,112.8623,112.783,112.783,5327
2022-08-02 07:30:00,112.8028,112.9119,112.6144,112.6144,3099
2022-08-02 07:45:00,112.6441,112.6639,112.6441,112.6639,200
2022-08-02 08:00:00,112.783,113.9433,112.5648,112.7334,31836
2022-08-02 08:15:00,112.5945,112.6639,112.4557,112.5648,7360
2022-08-02 08:30:00,112.5648,112.6739,112.3664,112.3862,7966
2022-08-02 08:45:00,112.3862,112.5548,112.2672,112.5548,19695
2022-08-02 09:00:00,112.5548,112.8425,112.4656,112.7334,15058
2022-08-02 09:15:00,112.7532,113.0606,112.5449,112.9119,32306
2022-08-02 09:30:00,112.902,114.221,112.8226,113.6036,1452609
2022-08-02 09:45:00,113.5962,114.0524,113.1698,113.5169,741508
2022-08-02 10:00:00,113.4772,113.4921,112.783,113.2193,838169
2022-08-02 10:15:00,113.2193,113.6259,113.0111,113.6259,515670
2022-08-02 10:30:00,113.6259,113.7747,113.2689,113.7648,465165
2022-08-02 10:45:00,113.7747,114.4094,113.5863,114.1615,569916
2022-08-02 11:00:00,114.1615,114.261,113.6458,113.6656,382623
2022-08-02 11:15:00,113.6656,114.0127,113.4772,113.9334,397206
2022-08-02 11:30:00,113.9334,114.2408,113.6259,114.1367,352663
2022-08-02 11:45:00,114.1218,114.3797,114.0623,114.2508,255929
2022-08-02 12:00:00,114.2508,114.6772,114.1417,114.6772,280236
2022-08-02 12:15:00,114.6673,115.1533,114.6475,115.0726,516149
2022-08-02 12:30:00,115.0838,115.3913,115.0243,115.3714,476076
2022-08-02 12:45:00,115.3714,115.3913,115.2128,115.2624,330759
2022-08-02 13:00:00,115.2822,115.3615,115.0342,115.2921,416300
2022-08-02 13:15:00,115.2921,115.3615,114.588,114.697,375551
2022-08-02 13:30:00,114.6772,114.6772,113.9235,114.0398,556997
2022-08-02 13:45:00,114.0276,114.0623,113.7152,113.9631,324159
2022-08-02 14:00:00,113.9631,114.3598,113.7846,114.2805,267335
2022-08-02 14:15:00,114.2805,114.4293,114.1615,114.3598,272824
2022-08-02 14:30:00,114.3666,114.5581,114.2805,114.5086,260205
2022-08-02 14:45:00,114.5284,114.5581,114.1317,114.2706,325142
2022-08-02 15:00:00,114.2805,114.4789,114.2012,114.4293,302255
2022-08-02 15:15:00,114.4392,114.5483,114.0524,114.4112,421294
2022-08-02 15:30:00,114.3798,114.6574,114.2904,114.4094,513742
2022-08-02 15:45:00,114.3995,114.4392,114.1615,114.1813,1071366
2022-08-02 16:00:00,114.1813,114.1813,113.9036,114.0425,2385086
2022-08-02 16:15:00,113.9433,114.1813,113.9433,114.0524,2725
2022-08-02 16:30:00,114.0524,114.0524,114.0028,114.0425,3129
2022-08-02 16:45:00,114.0425,114.1516,114.0326,114.0326,1903
2022-08-02 17:00:00,114.0227,114.0524,114.0227,114.0524,3634
2022-08-02 17:15:00,114.0524,114.1516,113.9532,113.9532,8338
2022-08-02 17:30:00,113.983,114.0107,113.983,114.0107,4576
2022-08-02 17:45:00,114.0524,114.0524,113.9631,113.9631,628
2022-08-02 18:00:00,114.1714,114.1714,114.1317,114.1516,500
2022-08-02 18:15:00,114.1714,114.1714,113.9929,114.0524,1763
2022-08-02 18:30:00,114.0623,114.1813,114.0425,114.1813,8229
2022-08-02 18:45:00,114.1417,114.1417,114.0127,114.0127,993
2022-08-02 19:00:00,114.1813,114.1813,114.1813,114.1813,350
2022-08-02 19:15:00,114.1317,114.1417,114.1317,114.1417,1300
2022-08-02 19:30:00,114.1516,114.1516,113.9731,113.9731,1248
2022-08-02 19:45:00,114.0524,114.0524,113.9631,114.0028,2339
2022-08-03 04:00:00,114.1516,114.1516,113.8937,113.9334,1000
2022-08-03 04:15:00,114.0425,114.0425,114.0425,114.0425,400
2022-08-03 04:30:00,114.0524,114.1516,114.0524,114.1516,517
2022-08-03 04:45:00,114.1317,114.1516,114.1317,114.1516,743
2022-08-03 05:00:00,114.1516,114.2805,114.1516,114.2805,2943
2022-08-03 05:15:00,114.4789,114.6772,114.4689,114.5086,2034
2022-08-03 05:30:00,114.6475,114.6475,114.5483,114.5483,1016
2022-08-03 05:45:00,114.4491,114.5483,114.4491,114.5483,611
2022-08-03 06:00:00,114.5284,114.5483,114.3103,114.3103,412
2022-08-03 06:15:00,114.3698,114.4491,114.2508,114.4491,1175
2022-08-03 06:30:00,114.3797,114.5185,114.3499,114.3499,1034
2022-08-03 06:45:00,114.3499,114.3499,114.3499,114.3499,100
2022-08-03 07:00:00,114.3995,114.6673,114.3995,114.6673,1303
2022-08-03 07:15:00,114.5979,114.6375,114.4987,114.4987,3700
2022-08-03 07:30:00,114.4987,114.5483,114.3003,114.3896,1559
2022-08-03 07:45:00,114.3499,114.4789,114.3499,114.3896,993
2022-08-03 08:00:00,114.6667,114.6871,114.0524,114.3797,24006
2022-08-03 08:15:00,114.4392,114.6871,114.3995,114.3995,15162
2022-08-03 08:30:00,114.4491,114.5483,114.2508,114.3995,16551
2022-08-03 08:45:00,114.3797,114.4689,114.1417,114.364,27141
2022-08-03 09:00:00,114.3499,114.4491,113.9929,114.4491,26234
2022-08-03 09:15:00,114.3698,114.7863,114.1714,114.7466,66930
2022-08-03 09:30:00,114.7566,115.9467,114.5284,115.8746,1700724
2022-08-03 09:45:00,115.9049,116.6706,115.5522,116.4784,1133976
2022-08-03 10:00:00,116.4822,117.5988,116.2144,117.1715,1320802
2022-08-03 10:15:00,117.1666,117.3252,116.4921,116.512,818561
2022-08-03 10:30:00,116.4921,116.5516,115.8475,116.3136,726772
2022-08-03 10:45:00,116.3186,116.6607,116.1549,116.6607,532962
2022-08-03 11:00:00,116.6607,117.1829,116.4822,116.9483,560819
2022-08-03 11:15:00,116.9483,117.1963,116.869,117.0773,528108
2022-08-03 11:30:00,117.0872,117.5732,117.0376,117.365,673434
2022-08-03 11:45:00,117.3748,117.5236,117.2062,117.4343,476875
2022-08-03 12:00:00,117.4343,117.4442,116.7401,116.8095,468120
2022-08-03 12:15:00,116.8095,117.1467,116.6607,116.9186,530528
2022-08-03 12:30:00,116.9384,117.3996,116.8888,117.355,457730
2022-08-03 12:45:00,117.345,117.6426,117.2445,117.2955,564908
2022-08-03 13:00:00,117.2955,117.6128,117.2806,117.5136,498592
2022-08-03 13:15:00,117.5236,117.593,117.2062,117.2161,363845
2022-08-03 13:30:00,117.2161,117.4839,117.1269,117.4245,410806
2022-08-03 13:45:00,117.4442,117.4541,117.1467,117.236,418100
2022-08-03 14:00:00,117.2459,117.2558,117.0178,117.0674,427781
2022-08-03 14:15:00,117.0574,117.3252,116.9979,117.0458,380963
2022-08-03 14:30:00,117.0384,117.2955,116.988,117.1764,384011
2022-08-03 14:45:00,117.1864,117.2657,117.0178,117.1467,344568
2022-08-03 15:00:00,117.1467,117.3153,116.9483,116.9483,484827
2022-08-03 15:15:00,116.9583,117.2855,116.9087,117.1764,450267
2022-08-03 15:30:00,117.1731,117.4641,117.107,117.3649,672283
2022-08-03 15:45:00,117.3649,117.5533,117.0078,117.0872,1625792
2022-08-03 16:00:00,117.107,117.107,116.7897,117.107,3720214
2022-08-03 16:15:00,116.897,117.107,116.8392,116.8789,24218
2022-08-03 16:30:00,116.9583,116.9583,116.8392,116.8637,1862
2022-08-03 16:45:00,116.8492,116.9087,116.8392,116.8393,4902
2022-08-03 17:00:00,116.8888,116.8888,116.8397,116.8789,2157
2022-08-03 17:15:00,116.9285,116.9285,116.8591,116.8591,1874
2022-08-03 17:45:00,116.9087,117.0078,116.9087,116.9285,7910
2022-08-03 18:00:00,116.8789,116.9087,116.8194,116.8888,4835
2022-08-03 18:15:00,116.6706,116.8095,116.6706,116.75,379
2022-08-03 18:30:00,116.6508,116.7797,116.5715,116.5715,2579
2022-08-03 18:45:00,116.5715,116.7599,116.5516,116.7599,1879
2022-08-03 19:00:00,116.7302,116.7302,116.5516,116.5814,6065
2022-08-03 19:15:00,116.5417,116.5814,116.5417,116.5814,1610
2022-08-03 19:30:00,116.5616,116.6211,116.5318,116.5516,2161
2022-08-03 19:45:00,116.631,116.7897,116.631,116.7897,2481
2022-08-04 04:00:00,117.226,117.226,116.9285,116.9781,965
