Datetime,Open,High,Low,Close,Volume
2022-03-01 04:00:00,287.8118,287.8215,287.3281,287.3281,809
2022-03-01 04:15:00,287.4249,287.4249,287.4249,287.4249,152
2022-03-01 04:30:00,287.2894,287.2894,287.1443,287.1443,213
2022-03-01 04:45:00,287.5409,287.5409,286.9702,286.9799,545
2022-03-01 05:15:00,287.096,287.1056,287.096,287.096,745
2022-03-01 05:30:00,286.9219,287.1927,286.9219,287.183,532
2022-03-01 05:45:00,287.1927,287.4829,287.1927,287.4829,530
2022-03-01 06:15:00,287.4829,287.4829,287.4829,287.4829,611
2022-03-01 06:30:00,287.4829,287.4829,287.0379,287.0379,1164
2022-03-01 06:45:00,287.0379,287.0379,287.0379,287.0379,100
2022-03-01 07:00:00,286.8832,287.2507,280.9342,286.6317,19093
2022-03-01 07:15:00,286.6317,287.3378,285.5676,287.2894,3856
2022-03-01 07:30:00,287.1347,287.2411,286.4189,286.4189,6655
2022-03-01 07:45:00,286.3221,286.4382,286.0803,286.4382,3672
2022-03-01 08:00:00,286.5146,287.2847,285.8385,286.7091,16055
2022-03-01 08:15:00,287.2991,287.9569,286.9315,287.6802,5984
2022-03-01 08:30:00,287.6764,288.2471,287.5506,287.5506,1230
2022-03-01 08:45:00,288.0343,288.721,288.0149,288.4599,4479
2022-03-01 09:00:00,288.0246,288.6437,287.5893,287.5893,3785
2022-03-01 09:15:00,287.5597,287.9182,286.2834,286.7091,34465
2022-03-01 09:30:00,286.7091,287.9665,285.8482,286.8638,1466746
2022-03-01 09:45:00,286.859,289.1096,286.6852,288.6533,882252
2022-03-01 10:00:00,288.8081,289.727,287.686,288.4115,735031
2022-03-01 10:15:00,288.4986,290.1623,288.4018,289.4659,793742
2022-03-01 10:30:00,289.4997,289.9108,287.8505,287.9182,635466
2022-03-01 10:45:00,287.9206,288.4695,287.5313,287.7828,672310
2022-03-01 11:00:00,287.7828,288.5953,287.5893,288.5663,566633
2022-03-01 11:15:00,288.5566,289.5723,287.2314,287.4829,415135
2022-03-01 11:30:00,287.5119,287.5119,285.9062,286.3608,600845
2022-03-01 11:45:00,286.3415,286.3415,285.084,285.558,671067
2022-03-01 12:00:00,285.4999,286.1287,284.9486,286.0223,526137
2022-03-01 12:15:00,285.9352,286.4285,285.6934,286.2254,446260
2022-03-01 12:30:00,286.2157,286.8097,285.8237,286.7381,358818
2022-03-01 12:45:00,286.7284,287.4926,286.5059,286.8629,393238
2022-03-01 13:00:00,286.8155,287.4636,285.9642,286.0319,476758
2022-03-01 13:15:00,286.0029,286.2931,284.6702,284.6874,465367
2022-03-01 13:30:00,284.7067,285.8095,284.6293,285.6158,463715
2022-03-01 13:45:00,285.616,286.1093,285.0937,285.1614,396991
2022-03-01 14:00:00,285.1807,285.4129,284.5616,285.0035,537268
2022-03-01 14:15:00,285.0066,286.0126,284.6003,285.5676,568211
2022-03-01 14:30:00,285.587,286.264,285.1517,285.7485,628090
2022-03-01 14:45:00,285.7611,285.8092,284.5133,284.6052,589248
2022-03-01 15:00:00,284.6197,286.68,284.4552,285.8385,801929
2022-03-01 15:15:00,285.8095,285.9932,284.107,284.1699,756623
2022-03-01 15:30:00,284.1554,284.7261,283.2848,283.5556,1003437
2022-03-01 15:45:00,283.5169,285.7998,282.598,285.3065,1928203
2022-03-01 16:00:00,285.3065,286.1287,285.1904,286.1287,3703684
2022-03-01 16:15:00,285.8288,286.177,285.3065,285.9835,8178
2022-03-01 16:30:00,285.9352,285.9352,285.3065,285.8772,34657
2022-03-01 16:45:00,285.8965,286.0319,285.8772,286.0126,2901
2022-03-01 17:00:00,285.9642,286.1093,285.6547,285.6547,8687
2022-03-01 17:15:00,285.8868,285.8868,285.6934,285.7418,2842
2022-03-01 17:30:00,285.7417,285.8482,285.6934,285.7611,1577
2022-03-01 18:00:00,285.7708,285.8385,285.5483,285.5676,3508
2022-03-01 18:15:00,285.7321,285.8191,285.674,285.7998,2090
2022-03-01 18:30:00,285.8095,286.2061,285.5676,286.2061,3848
2022-03-01 18:45:00,285.9352,286.2931,285.9352,286.2931,2556
2022-03-01 19:00:00,286.4672,286.8928,286.4672,286.6607,1846
2022-03-01 19:15:00,286.6123,287.096,286.6123,286.7091,3616
